timestamp,Actual Value,Predicted Value
2021-01-30 10:00:00,33886.76333,33964.18
2021-01-30 13:15:00,33864.12667,33851.79
2021-01-30 16:30:00,34087.68667,33870.137
2021-01-30 19:45:00,34430.54667,34043.22
2021-01-30 23:00:00,34186.01,34319.67
2021-01-31 02:15:00,33869.83333,34146.023
2021-01-31 05:30:00,33623.96333,33821.883
2021-01-31 08:45:00,33532.21,33600.543
2021-01-31 12:00:00,33598.69,33524.484
2021-01-31 15:15:00,32633.96333,33593.51
2021-01-31 18:30:00,32647.31,32721.34
2021-01-31 21:45:00,32695.61667,32729.098
2021-02-01 01:00:00,33339.34333,32749.611
2021-02-01 04:15:00,33692.06333,33369.71
2021-02-01 07:30:00,34135.29333,33696.145
2021-02-01 10:45:00,33905.81333,34078.902
2021-02-01 14:00:00,33494.81667,33863.42
2021-02-01 17:15:00,33789.73333,33515.875
2021-02-01 20:30:00,33601.41,33767.086
2021-02-01 23:45:00,33747.52333,33576.863
2021-02-02 03:00:00,33866.94667,33677.977
2021-02-02 06:15:00,34892.37333,33798.043
2021-02-02 09:30:00,34949.10333,34702.6
2021-02-02 12:45:00,34752.95,34717.586
2021-02-02 16:00:00,35105.37667,34397.7
2021-02-02 19:15:00,35651.35667,34815.383
2021-02-02 22:30:00,35895.09333,35322.125
2021-02-03 01:45:00,36426.0,35487.83
2021-02-03 05:00:00,36195.00333,35908.293
2021-02-03 08:15:00,35909.31333,35763.73
2021-02-03 11:30:00,36333.13667,35493.78
2021-02-03 14:45:00,36927.52333,35925.82
2021-02-03 18:00:00,36991.83333,36416.78
2021-02-03 21:15:00,37643.87,36448.86
2021-02-04 00:30:00,37799.09667,36988.383
2021-02-04 03:45:00,37883.35667,37048.84
2021-02-04 07:00:00,37672.89333,37170.273
2021-02-04 10:15:00,37556.89,37002.258
2021-02-04 13:30:00,37575.19,36835.29
2021-02-04 16:45:00,36912.92,36920.805
2021-02-04 20:00:00,37054.66,36417.62
2021-02-04 23:15:00,37431.72,36485.77
2021-02-05 02:30:00,36998.91,36833.113
2021-02-05 05:45:00,37193.96,36502.637
2021-02-05 09:00:00,37474.32,36637.125
2021-02-05 12:15:00,37549.62,36847.41
2021-02-05 15:30:00,37987.03,37146.016
2021-02-05 18:45:00,37896.76,37361.062
2021-02-05 22:00:00,37633.67,37242.41
2021-02-06 01:15:00,38204.07,36992.234
2021-02-06 04:30:00,39181.4,37421.65
2021-02-06 07:45:00,39181.32,38101.137
2021-02-06 11:00:00,39634.83,38140.656
2021-02-06 14:15:00,40172.84,38489.613
2021-02-06 17:30:00,40552.22,38882.477
2021-02-06 20:45:00,40203.4,39154.645
2021-02-07 00:00:00,39820.51,38882.676
2021-02-07 03:15:00,39039.4,38602.297
2021-02-07 06:30:00,38517.3,38005.18
2021-02-07 09:45:00,39065.87,37612.887
2021-02-07 13:00:00,39105.8,38045.582
2021-02-07 16:15:00,38282.07,38142.977
2021-02-07 19:30:00,38047.99,37476.777
2021-02-07 22:45:00,38346.86,37279.934
2021-02-08 02:00:00,38801.59,37503.7
2021-02-08 05:15:00,38410.3,37859.81
2021-02-08 08:30:00,39001.6,37547.375
2021-02-08 11:45:00,39201.49,38000.223
